houseName,houseScale,houseArea,houseLayers,houseDirect,community,detailAddress,price
寿县 楚都小区 2室1厅,2室1厅,80㎡,高层（共6层）,南北向,楚都小区,寿县新一中,3500元/㎡
田家庵 恒大御府 3室2厅,3室2厅,132㎡,低层（共33层）,南向,恒大御府,洞山,7916元/㎡
田家庵 恒大御府 4室2厅,4室2厅,142.5㎡,中层（共33层）,南向,恒大御府,洞山,9052元/㎡
田家庵 金大地龙湖中心 2室1厅,2室1厅,71.5㎡,高层（共27层）,东西向,金大地龙湖中心,龙湖路-金大地龙湖中心,5314元/㎡
凤台 凤凰首府 3室2厅,3室2厅,118.5㎡,中层（共17层）,南北向,凤凰首府,新体育场,5485元/㎡
田家庵 力达明和绿洲 3室2厅,3室2厅,158㎡,低层（共18层）,南北向,力达明和绿洲,其他,7974元/㎡
山南新区 西湖春天 3室2厅,3室2厅,112㎡,高层（共6层）,南北向,西湖春天,山南新区-淮河大道与南纬三路交汇处向西200米,8571元/㎡
田家庵 奥林花园小区。 2室2厅,2室2厅,112.11㎡,低层（共24层）,南北向,奥林花园小区。,国庆中路,5351元/㎡
寿县 寿县北街党校居民楼 3室1厅,3室1厅,87㎡,高层（共5层）,南向,寿县北街党校居民楼,寿春镇,3563元/㎡
山南新区 金大地英伦联邦 2室2厅,2室2厅,81.3㎡,低层（共33层）,南北向,金大地英伦联邦,山南新区-淮南市山南新区淮河大道与春华大街交叉口,7011元/㎡
田家庵 金大地龙湖中心 4室2厅,4室2厅,135㎡,高层（共33层）,南向,金大地龙湖中心,龙湖路-金大地龙湖中心,8518元/㎡
田家庵 惠利花园城翰林华府 3室2厅,3室2厅,141.2㎡,高层（共6层）,南北向,惠利花园城翰林华府,洞山,4957元/㎡
潘集 潘集新原装小区 4室2厅,4室2厅,150㎡,高层（共6层）,南北向,潘集新原装小区,潘集,1933元/㎡
